Counter,Ref Num,Row Num,id,Rep Text,Link,Main Text,Cleaned Text,Subject,Query,Reference Published Date,Who Published?,Reference Name,Access Date,Reference Text,Reference URL,State
4,2,106,370,اگه دروغه اصلش رو از همون آقای قاضی,https://t.me/farshadforoozesh/370,,,,,,,,,,,N
4,3,106,370,اگه دروغه اصلش رو از همون آقای قاضی,https://t.me/farshadforoozesh/370,,,,,,,,,,,N
5,1,107,2208,?تکذیب با اهداف شیطانی وخیانتی دیگر? ✳بررسی علت تکذیبیه آقای هاشمی به دنبال رسوایی ایجاد شده درخصوص بی بصیرتی یا ناآگاهی وجهالت یا ساده,https://t.me/motevallian/2208,,,,,,,,,,,N
5,2,107,2208,?تکذیب با اهداف شیطانی وخیانتی دیگر? ✳بررسی علت تکذیبیه آقای هاشمی به دنبال رسوایی ایجاد شده درخصوص بی بصیرتی یا ناآگاهی وجهالت یا ساده,https://t.me/motevallian/2208,,,,,,,,,,,N
5,3,107,2208,?تکذیب با اهداف شیطانی وخیانتی دیگر? ✳بررسی علت تکذیبیه آقای هاشمی به دنبال رسوایی ایجاد شده درخصوص بی بصیرتی یا ناآگاهی وجهالت یا ساده,https://t.me/motevallian/2208,,,,,,,,,,,N
6,1,108,248,بیانیه علیرغم تمامی اظهارنظرها و ابراز ناخرسندی پیاپی فعالان عرصه هنرهای تجسمی کشورو متن تکذیبیه معاونت امور هنری وزارت فرهنگ و ارشاد اسلامی، نگرانی,https://t.me/artzm/248,,,,,,,,,,,N
6,2,108,248,بیانیه علیرغم تمامی اظهارنظرها و ابراز ناخرسندی پیاپی فعالان عرصه هنرهای تجسمی کشورو متن تکذیبیه معاونت امور هنری وزارت فرهنگ و ارشاد اسلامی، نگرانی,https://t.me/artzm/248,,,,,,,,,,,N
6,3,108,248,بیانیه علیرغم تمامی اظهارنظرها و ابراز ناخرسندی پیاپی فعالان عرصه هنرهای تجسمی کشورو متن تکذیبیه معاونت امور هنری وزارت فرهنگ و ارشاد اسلامی، نگرانی,https://t.me/artzm/248,,,,,,,,,,,N
7,1,109,922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می,https://t.me/Iranpainters/922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می کنید؟ 💢روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. 💢وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ 💢مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. 💢دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ 💢در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ 💢اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,تناقض گویی در تکذیبیه وزارت ارشاد با دروغگویی معاون وزیر چه می کنید؟ روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,,,,,,,,,U
7,2,109,922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می,https://t.me/Iranpainters/922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می کنید؟ 💢روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. 💢وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ 💢مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. 💢دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ 💢در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ 💢اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,تناقض گویی در تکذیبیه وزارت ارشاد با دروغگویی معاون وزیر چه می کنید؟ روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,,,,,,,,,U
7,3,109,922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می,https://t.me/Iranpainters/922,✅تناقض گویی در تکذیبیه وزارت ارشاد/ با دروغگویی معاون وزیر چه می کنید؟ 💢روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. 💢وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ 💢مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. 💢دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ 💢در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ 💢اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,تناقض گویی در تکذیبیه وزارت ارشاد با دروغگویی معاون وزیر چه می کنید؟ روابط عمومی معاونت توسعه مدیریت و منابع وزارت فرهنگ و ارشاد اسلامی با انتشار بیانیه‌ای در واکنش به خبر و انتشار سند واگذاری موزه هنرهای معاصر تهران به بنیاد فرهنگی و هنری رودکی، آن را «اخبار و اطلاعات ناقص و نادرست منتشر شده» خواند و این واگذاری را تکذیب کرد. وزارت فرهنگ و ارشاد اسلامی به طور خاص و دولت یازدهم به طور عام در واکنش به عدم صداقت و دروغ‌گویی افراد زیرمجموعه خود از جمله مرادخانی و ملانوروزی چه خواهند کرد؟ وزارت فرهنگ و ارشاد چطور می‌تواند این بیانیة متناقض و غیرصادقانة خود را توجیه کند؟ مرادخانی، معاون امور هنری وزارت فرهنگ و ارشاد اسلامی در گفت‌وگوهای خود با رسانه‌ها و همچنین در بیانیة روابط عمومی این معاونت در سایت وزارتخانه، خبر این واگذاری را شایعه و کذب خوانده بود. حال آنکه نه‌تنها سندی که معماری‌نیوز منتشر کرد، بلکه حتی اسنادی که در متن بیانیة وزارت فرهنگ و ارشاد مورد ارجاع قرار گرفته است، نشان می‌دهند که این خبر صحت داشته و مسئولانی مانند او، ملانوروزی، مدیر موزة هنرهای معاصر تهران و جمالی، مدیر عامل بنیاد رودکی هستند که واقعیت را کتمان می‌کنند و دروغ می‌گویند. دولت یازدهم که گردش آزاد اطلاعات را حق مردم می‌دانست، حال با چه توجیه و به چه حقی پروژة خصوصی‌سازی و واگذاری اموال و نهادهای مردمی را پنهان از دید مردم و بدون اطلاع‌رسانی به افکار عمومی پی می‌گیرد؟ در مورد موضوعات مختلف دیگری که از این شانس و اقبال برخوردار نیستند، برنامه‌ها و پروژه‌های خصوصی‌سازی دولت تا چه حد با منافع و مصالح مردم در تضاد و تقابل قرار دارد و آیا در این پروژه‌ها، دولت آن طور که باید، حامی و مدافع مردم هست؟ اگر اعضای دولت یازدهم، اعتماد و رأی مردم در انتخابات سال 96 را می‌خواهند، باید با چنین رویه‌هایی مقابله کنند و جلوی تکرار آن‌ها را بگیرند.,,,,,,,,,U
8,1,110,206,یادداشت ارسالی از مخاطبین کانال #هاشمی_شناسی 💥خیانت ثابت شد!💥 📝با دیدن یادداشت غلامعلی رجایی مشاور #حجت_الاسلام هاشمی، فکر میکنم دیگه تشخیص #خائن بودن آسون شده! نظر شمارو جلب میکنم به این چند سکانس تا ببینیم آیا میشه تشخیص بدیم #خائن هست طبق سخنان امام خامنه,https://t.me/aviny95/206,,,,,,,,,,,N
8,2,110,206,یادداشت ارسالی از مخاطبین کانال #هاشمی_شناسی 💥خیانت ثابت شد!💥 📝با دیدن یادداشت غلامعلی رجایی مشاور #حجت_الاسلام هاشمی، فکر میکنم دیگه تشخیص #خائن بودن آسون شده! نظر شمارو جلب میکنم به این چند سکانس تا ببینیم آیا میشه تشخیص بدیم #خائن هست طبق سخنان امام خامنه,https://t.me/aviny95/206,,,,,,,,,,,N
8,3,110,206,یادداشت ارسالی از مخاطبین کانال #هاشمی_شناسی 💥خیانت ثابت شد!💥 📝با دیدن یادداشت غلامعلی رجایی مشاور #حجت_الاسلام هاشمی، فکر میکنم دیگه تشخیص #خائن بودن آسون شده! نظر شمارو جلب میکنم به این چند سکانس تا ببینیم آیا میشه تشخیص بدیم #خائن هست طبق سخنان امام خامنه,https://t.me/aviny95/206,,,,,,,,,,,N
